9786040010011,Đắc nhân tâm,Dale Carnegie,Kỹ năng sống,NXB Trẻ,1936,10,5
9786040010028,Từ tốt đến vĩ đại,Jim Collins,Kinh tế,NXB Trẻ,2001,8,5
9786040010035,Nhà giả kim,Paulo Coelho,Tiểu thuyết,NXB Văn Học,1988,12,9
9786040010042,Cho tôi xin một vé đi tuổi thơ,Nguyễn Nhật Ánh,Tiểu thuyết,NXB Trẻ,2007,15,11
9786040010059,Mắt biếc,Nguyễn Nhật Ánh,Tiểu thuyết,NXB Trẻ,1990,10,7
9786040010066,Tôi thấy hoa vàng trên cỏ xanh,Nguyễn Nhật Ánh,Tiểu thuyết,NXB Trẻ,2010,14,10
9786040010073,Lược sử thời gian,Stephen Hawking,Khoa học,NXB Khoa Học,1988,6,4
9786040010080,Vũ trụ trong vỏ hạt dẻ,Stephen Hawking,Khoa học,NXB Khoa Học,2001,6,3
9786040010097,Lịch sử Việt Nam,Nhiều tác giả,Lịch sử,NXB Giáo Dục,2015,9,6
9786040010103,Kinh tế học vĩ mô,N. Gregory Mankiw,Kinh tế,NXB Đại Học,2012,7,4
9786040010110,Lập trình Java cơ bản,Phạm Văn Nam,Công nghệ,NXB Lao Động,2020,13,10
9786040010127,Cấu trúc dữ liệu và giải thuật,Lê Thị Mai,Công nghệ,NXB Đại Học,2019,12,8
9786040010134,Kỹ năng làm việc nhóm,Trần Quang,Kỹ năng sống,NXB Trẻ,2016,8,6
9786040010141,Quảng cáo và tiếp thị,Philip Kotler,Kinh tế,NXB Lao Động,2014,5,2
9786040010158,Tâm lý học đại cương,Vũ Đức,Khoa học,NXB Đại Học,2011,7,3
9786040010165,Giải mã hành vi,Dan Ariely,Khoa học,NXB Trẻ,2008,6,4
9786040010172,Tiếng Việt 6,Bộ Giáo Dục,Giáo dục,NXB Giáo Dục,2021,20,15
9786040010189,Văn 9,Bộ Giáo Dục,Giáo dục,NXB Giáo Dục,2021,18,12
9786040010196,Những người khốn khổ,Victor Hugo,Văn học,NXB Văn Học,1862,4,2
9786040010202,Thế giới phẳng,Thomas Friedman,Kinh tế,NXB Trẻ,2005,5,3
